@RELATION "dataset ONOS"

@ATTRIBUTE Src-Port NUMERIC
@ATTRIBUTE Dst-Port NUMERIC
@ATTRIBUTE Total-Len-Fwd-Pkts NUMERIC
@ATTRIBUTE Total-Len-Bwd-Pkts NUMERIC
@ATTRIBUTE Fwd-Pkt-Len-Min NUMERIC
@ATTRIBUTE Pkt-Len-Mean NUMERIC
@ATTRIBUTE Flow-IAT-Min NUMERIC
@ATTRIBUTE Fwd-IAT-Min NUMERIC
@ATTRIBUTE Bwd-IAT-Mean NUMERIC
@ATTRIBUTE Fwd-PSH-Flags NUMERIC
@ATTRIBUTE PSH-Flag-Cnt NUMERIC
@ATTRIBUTE ACK-Flag-Cnt NUMERIC
@ATTRIBUTE Label {0, 1}

@DATA
53464,25,40,0,40,40,0,0,0,0,0,0,0
53466,25,282,384,40,66,2,4,2509,1,3,8,0
53466,25,282,384,40,66,2,4,2509,1,3,8,0
53466,25,40,0,40,40,0,0,0,0,0,0,0
53478,25,282,384,40,66,4,4,2505,1,3,8,0
53478,25,282,384,40,66,4,4,2505,1,3,8,0
53478,25,40,0,40,40,0,0,0,0,0,0,0
53490,25,282,384,40,66,3,4,2507,1,3,8,0
53490,25,282,384,40,66,3,4,2507,1,3,8,0
53490,25,40,0,40,40,0,0,0,0,0,0,0
36360,22,4908,5358,52,218,2,4,452,13,25,46,0
36360,22,4908,5358,52,218,2,4,452,13,25,46,0
46156,8180,763,9395,52,461,1,4,9,1,2,21,0
53494,25,282,384,40,66,4,5,2503,1,3,8,0
53494,25,40,0,40,40,0,0,0,0,0,0,0
53502,25,282,384,40,66,4,7,2505,1,3,8,0
53502,25,40,0,40,40,0,0,0,0,0,0,0
36372,22,4892,4318,52,195,3,4,450,13,25,46,0
36372,22,4892,4318,52,195,3,4,450,13,25,46,0
20,41765,665,164,52,103,5,9,15,1,1,7,0
55418,21,811,856,52,64,0,4,13,6,14,25,0
55418,21,811,856,52,64,0,4,13,6,14,25,0
46166,8180,763,9395,52,461,1,4,9,1,2,21,0
36382,22,4892,4318,52,195,2,4,450,13,25,46,0
41072,139,100,60,40,53,17,30,0,0,0,1,0
54472,445,216,164,52,54,7,7,20,0,0,6,0
46182,8180,763,9395,52,461,4,4,10,1,2,21,0
20,44247,665,164,52,103,5,10,20,1,1,7,0
55440,21,812,856,52,64,2,4,18,6,14,25,0
20,49381,665,164,52,103,5,10,16,1,1,7,0
55444,21,812,856,52,64,2,4,14,6,14,25,0
55444,21,812,856,52,64,2,4,14,6,14,25,0
20,53523,665,164,52,103,5,9,16,1,1,7,0
55446,21,811,856,52,64,1,4,14,6,14,25,0
55446,21,811,856,52,64,1,4,14,6,14,25,0
36284,80,446,1340,52,178,4,4,16,1,2,9,0
53526,25,282,384,40,66,1,5,2505,1,3,8,0
53526,25,282,384,40,66,1,5,2505,1,3,8,0
53526,25,40,0,40,40,0,0,0,0,0,0,0
36406,22,4908,5358,52,218,1,4,451,13,25,46,0
36406,22,4908,5358,52,218,1,4,451,13,25,46,0
36288,80,446,1340,52,178,4,4,17,1,2,9,0
53542,25,282,384,40,66,4,4,1996,1,3,8,0
53542,25,282,384,40,66,4,4,1996,1,3,8,0
53542,25,40,0,40,40,0,0,0,0,0,0,0
36412,22,4908,5358,52,218,0,4,351,13,25,46,0
36412,22,4908,5358,52,218,0,4,351,13,25,46,0
36414,22,4908,5358,52,218,3,4,449,13,25,46,0
36296,80,446,1340,52,178,4,4,17,1,2,9,0
36420,22,4892,4318,52,195,1,4,450,13,25,46,0
20,53503,665,164,52,103,5,9,17,1,1,7,0
55468,21,812,856,52,64,1,4,15,6,14,25,0
55468,21,812,856,52,64,1,4,15,6,14,25,0
41110,139,100,60,40,53,14,25,0,0,0,1,0
54510,445,216,164,52,54,7,7,15,0,0,6,0
20,60949,665,164,52,103,5,9,16,1,1,7,0
55476,21,811,856,52,64,1,4,14,6,14,25,0
55476,21,811,856,52,64,1,4,14,6,14,25,0
41120,139,100,60,40,53,33,50,0,0,0,1,0
54520,445,216,164,52,54,4,4,30,0,0,6,0
41130,139,100,60,40,53,18,34,0,0,0,1,0
54530,445,216,164,52,54,5,5,13,0,0,6,0
41138,139,100,60,40,53,23,29,0,0,0,1,0
54538,445,216,164,52,54,4,4,18,0,0,6,0
36338,80,446,1340,52,178,4,4,19,1,2,9,0
46254,8180,763,9395,52,461,1,4,10,1,2,21,0
20,44803,665,164,52,103,3,8,15,1,1,7,0
55512,21,758,856,52,64,3,5,16,6,14,24,0
20,42339,665,164,52,103,3,8,16,1,1,7,0
55514,21,759,856,52,64,2,5,15,6,14,24,0
36352,80,446,1340,52,178,5,5,20,1,2,9,0
53572,25,282,384,40,66,4,6,2061,1,3,8,0
